pos1	pos2	pos3	pos4	audio	lijst
glass.jpg	shovel.jpg	RADIO1.jpg	speaker.jpg	5_E_antenne_geluid.wav	3
torch.jpg	lightbulb.jpg	pineapple.jpg	handcuffs.jpg	6_E_elektriciteit_licht.wav	3
elephant.jpg	monkey.jpg	couch.jpg	unicycle.jpg	7_E_slurf_dierentuin.wav	3
lion.jpg	table.jpg	rocket.jpg	moon.jpg	8_E_kraters_ruimte.wav	3
mosquito.jpg	wig.jpg	tennisracket.jpg	bat1.jpg	9_E_bespannen_sport.wav	3
wall.jpg	hammer2.jpg	cowboy.jpg	pig.jpg	10_E_gereedschap_bouw.wav	3
zipper.jpg	door.jpg	cactus.jpg	hoe.jpg	11_E_spijkerbroek_sluiten.wav	3
cow.jpg	palmtree.jpg	swing.jpg	seesaw.jpg	12_E_tweepersonen_speeltuin.wav	3
fork.jpg	dime.jpg	dragon.jpg	queen.jpg	13_E_staart_sprookjes.wav	3
shell.jpg	crab.jpg	trophy.jpg	dustpan.jpg	14_E_beweegt_strand.wav	3
poker.jpg	watch.jpg	sausage.jpg	clock.jpg	15_E_bandje_tijd.wav	3
mousetrap.jpg	top.jpg	sun.jpg	cage.jpg	16_E_deurtje_vangen.wav	3
mouse.jpg	bottle.jpg	beaver.jpg	rug.jpg	17_E_piept_knaagdier.wav	3
butterfly.jpg	stoplight.jpg	motorcycle.jpg	whip.jpg	18_E_wielen_verkeer.wav	3
box.jpg	dinosaur.jpg	knife.jpg	alligator.jpg	19_E_uitgestorven_reptiel.wav	3
zebra.jpg	tv.jpg	brush.jpg	tiger.jpg	20_E_vlees_strepen.wav	3
kettle.jpg	tweezers.jpg	mug.jpg	star.jpg	21_E_tuit_thee.wav	3
hamburger.jpg	mushroom.jpg	rain.jpg	paw.jpg	22_E_neerslag_herfst.wav	3
clown.jpg	diamond.jpg	popcorn.jpg	dime.jpg	23_E_hoekig_waarde.wav	3
net.jpg	rabbit.jpg	genie.jpg	fishingpole.jpg	24_E_haak_vissen.wav	3
camel.jpg	pliers.jpg	pyramid.jpg	cell.jpg	25_E_bulten_Egypte.wav	3
mitt.jpg	cake.jpg	balloon.jpg	fly.jpg	26_E_opblazen_feestje.wav	3
scarf.jpg	devil.jpg	closet.jpg	cross.jpg	27_E_kwaad_geloof.wav	3
cannon.jpg	waiter.jpg	organ.jpg	gun.jpg	28_E_draagbaar_schieten.wav	3
glasses.jpg	window.jpg	tank1.jpg	microphone.jpg	29_L_glas_montuur.wav	3
belt.jpg	grave2.jpg	owl.jpg	book.jpg	31_L_wijsheid_pagina.wav	3
blimp.jpg	rope.jpg	moose.jpg	deer.jpg	32_L_gewei_kou.wav	3
fan.jpg	kite.jpg	crown.jpg	lawnmower.jpg	33_L_wind_touw.wav	3
shark.jpg	submarine.jpg	ghost.jpg	skirt.jpg	34_L_zee_kieuwen.wav	3
hanger.jpg	saddle.jpg	tear.jpg	onion.jpg	35_L_huilen_groente.wav	3
jacket.jpg	sun.jpg	dog.jpg	cat.jpg	36_L_huisdier_kwispelen.wav	3
bride.jpg	ring.jpg	turkey.jpg	cactus.jpg	37_L_trouwerij_levenloos.wav	3
pizza.jpg	spaghetti.jpg	rain.jpg	shower.jpg	38_L_Italie_rond.wav	3
chicken.jpg	carrot.jpg	desk.jpg	tie.jpg	39_L_kantoor_kledingstuk.wav	3
unicorn.jpg	toe.jpg	stove.jpg	pan.jpg	40_L_koken_kookpitten.wav	3
hammer.jpg	saw.jpg	alarmclock.jpg	chicken.jpg	41_L_gereedschap_tanden.wav	3
penguin.jpg	eskimo.jpg	bomb.jpg	cigarette.jpg	42_L_kou_snavel.wav	3
