Source.Name	audio	count_fixation	pos1	pos2	pos3	pos4	subject_nr
subject-1102.csv	17_E_piept_knaagdier.wav	39	beaver.jpg	rug.jpg	bottle.jpg	mouse.jpg	1102
subject-1102.csv	45_L_toetsen_draagbaar.wav	40	accordion.jpg	cloud.jpg	piano.jpg	king.jpg	1102
subject-1102.csv	44_L_zitten_eenpersoon.wav	41	bench.jpg	anchor.jpg	porcupine.jpg	chair.jpg	1102
subject-1102.csv	20_E_vlees_strepen.wav	42	tv.jpg	tiger.jpg	brush.jpg	zebra.jpg	1102
subject-1102.csv	30_L_scherp_keuken.wav	43	bear.jpg	knife.jpg	stethoscope.jpg	sword.jpg	1102
subject-1102.csv	14_E_beweegt_strand.wav	44	trophy.jpg	dustpan.jpg	crab.jpg	shell.jpg	1102
subject-1102.csv	35_L_huilen_groente.wav	45	onion.jpg	tear.jpg	hanger.jpg	saddle.jpg	1102
subject-1102.csv	2_E_was_vuur.wav	46	rake.jpg	crib.jpg	candle.jpg	match1.jpg	1102
subject-1102.csv	5_E_antenne_geluid.wav	47	glass.jpg	shovel.jpg	speaker.jpg	RADIO1.jpg	1102
subject-1102.csv	39_L_kantoor_kledingstuk.wav	48	tie.jpg	desk.jpg	chicken.jpg	carrot.jpg	1102
subject-1102.csv	49_L_prijs_oren.wav	49	trophy.jpg	dress.jpg	medal.jpg	anvil.jpg	1102
subject-1102.csv	12_E_tweepersonen_speeltuin.wav	50	seesaw.jpg	swing.jpg	cow.jpg	palmtree.jpg	1102
subject-1102.csv	6_E_elektriciteit_licht.wav	51	pineapple.jpg	handcuffs.jpg	lightbulb.jpg	torch.jpg	1102
subject-1102.csv	37_L_trouwerij_levenloos.wav	52	turkey.jpg	cactus.jpg	ring.jpg	bride.jpg	1102
subject-1102.csv	3_E_boom_eten.wav	53	egg.jpg	apple.jpg	wheelbarrow.jpg	scissors.jpg	1102
subject-1102.csv	19_E_uitgestorven_reptiel.wav	54	knife.jpg	alligator.jpg	dinosaur.jpg	box.jpg	1102
subject-1102.csv	24_E_haak_vissen.wav	55	rabbit.jpg	fishingpole.jpg	genie.jpg	net.jpg	1102
subject-1102.csv	29_L_glas_montuur.wav	56	window.jpg	glasses.jpg	tank1.jpg	microphone.jpg	1102
subject-1102.csv	40_L_koken_kookpitten.wav	57	unicorn.jpg	toe.jpg	pan.jpg	stove.jpg	1102
subject-1102.csv	4_E_conducteurs_vervoer.wav	58	train.jpg	car.jpg	butter.jpg	cast.jpg	1102
subject-1102.csv	22_E_neerslag_herfst.wav	59	rain.jpg	hamburger.jpg	mushroom.jpg	paw.jpg	1102
subject-1103.csv	prac1_E_wielen_ziekenhuis.wav	0	wheelchair.jpg	nurse.jpg	bee.jpg	pan.jpg	1103
subject-1103.csv	prac2_L_nacht_kerstboom.wav	1	moon.jpg	wallet.jpg	star.jpg	belt.jpg	1103
subject-1103.csv	prac4_L_hakken_natuurlijk.wav	2	priest2.jpg	log2.jpg	arrow.jpg	ax.jpg	1103
subject-1103.csv	prac3_E_badkamer_water.wav	3	beard.jpg	wallet.jpg	hose.jpg	shower.jpg	1103
subject-1103.csv	49_L_prijs_oren.wav	4	dress.jpg	medal.jpg	trophy.jpg	anvil.jpg	1103
subject-1103.csv	2_E_was_vuur.wav	5	match1.jpg	candle.jpg	rake.jpg	crib.jpg	1103
subject-1103.csv	40_L_koken_kookpitten.wav	6	unicorn.jpg	toe.jpg	stove.jpg	pan.jpg	1103
subject-1103.csv	29_L_glas_montuur.wav	7	glasses.jpg	window.jpg	tank1.jpg	microphone.jpg	1103
subject-1103.csv	18_E_wielen_verkeer.wav	8	butterfly.jpg	stoplight.jpg	motorcycle.jpg	whip.jpg	1103
subject-1103.csv	22_E_neerslag_herfst.wav	9	hamburger.jpg	mushroom.jpg	rain.jpg	paw.jpg	1103
subject-1103.csv	39_L_kantoor_kledingstuk.wav	10	chicken.jpg	carrot.jpg	desk.jpg	tie.jpg	1103
subject-1103.csv	34_L_zee_kieuwen.wav	11	shark.jpg	submarine.jpg	ghost.jpg	skirt.jpg	1103
subject-1103.csv	51_L_schoonmaken_water.wav	12	vacuum.jpg	pumpkin.jpg	lobster.jpg	washingmachine.jpg	1103
subject-1103.csv	47_L_post_afzender.wav	13	mailbox.jpg	skis.jpg	wateringcan.jpg	letter.jpg	1103
subject-1103.csv	45_L_toetsen_draagbaar.wav	14	cloud.jpg	piano.jpg	accordion.jpg	king.jpg	1103
subject-1103.csv	42_L_kou_snavel.wav	15	penguin.jpg	eskimo.jpg	bomb.jpg	cigarette.jpg	1103
subject-1103.csv	8_E_kraters_ruimte.wav	16	lion.jpg	table.jpg	rocket.jpg	moon.jpg	1103
subject-1103.csv	9_E_bespannen_sport.wav	17	mosquito.jpg	wig.jpg	tennisracket.jpg	bat1.jpg	1103
subject-1103.csv	3_E_boom_eten.wav	18	apple.jpg	egg.jpg	wheelbarrow.jpg	scissors.jpg	1103
subject-1103.csv	30_L_scherp_keuken.wav	19	sword.jpg	bear.jpg	stethoscope.jpg	knife.jpg	1103
subject-1103.csv	28_E_draagbaar_schieten.wav	20	cannon.jpg	waiter.jpg	organ.jpg	gun.jpg	1103
subject-1103.csv	21_E_tuit_thee.wav	21	kettle.jpg	tweezers.jpg	mug.jpg	star.jpg	1103
